point_id,latitude,longitude,traffic_multiplier,depot
0,17.385,78.4867,1.0,1
1,17.485438022428276,78.49235655686836,0.63,0
2,17.423534409753653,78.57079903252975,0.51,0
3,17.431196137137572,78.526873046327,1.44,0
4,17.33313666389586,78.40885514657879,0.85,0
5,17.450715712483696,78.45866789870097,0.66,0
6,17.398787754351247,78.5071451013336,0.91,0
7,17.402039051755338,78.53890007421438,1.38,0
8,17.40763844890336,78.50633761578955,0.88,0
9,17.28906568712664,78.45145625783597,0.92,0
10,17.381188846901082,78.47357585476948,0.83,0
11,17.301063770046923,78.44216798233599,0.65,0
12,17.485378095911013,78.4744046695645,1.27,0
13,17.36309860841449,78.40295120700812,1.24,0
14,17.401001123152888,78.51505249983167,0.93,0
15,17.414433802061783,78.43802126764959,1.42,0
16,17.288043899753575,78.46651215457217,1.1,0
17,17.44889656230883,78.55487393764031,0.58,0
18,17.400732947407224,78.49531723607913,0.53,0
19,17.301280277492193,78.469649825593,1.1,0
20,17.37898072599189,78.52632588376196,0.52,0
21,17.319022208754234,78.5051124197618,0.99,0
22,17.27906877726934,78.5034296746977,1.0,0
23,17.32876999802446,78.4764327616519,0.56,0
24,17.442776521424207,78.52905079038275,0.67,0
25,17.345378413919985,78.51387959991644,0.87,0
26,17.424984037172425,78.38723974081012,0.81,0
27,17.326995900189402,78.50541463673642,0.98,0
28,17.33527526685723,78.5469065076341,0.96,0
29,17.44662433674126,78.42588068782923,1.25,0
30,17.425223478449908,78.54132311775315,0.68,0
31,17.392951803269938,78.53190266182898,0.9,0
32,17.357330185044308,78.53991188152904,0.98,0
33,17.403114560810586,78.39106965491592,0.89,0
34,17.38496771925601,78.48244574096125,0.74,0
35,17.34963666171915,78.44584250441423,0.75,0
36,17.398882798923644,78.47694980031346,1.32,0
37,17.33065810584069,78.43374008415344,1.23,0
38,17.33174714329448,78.5642301485551,1.06,0
39,17.4322147480995,78.45067432450861,1.46,0
40,17.375414737589495,78.45692523293334,0.58,0
41,17.43212023538047,78.3998140517788,0.5,0
42,17.481648924284574,78.53279331618882,0.6,0
43,17.39078674263108,78.5729886012265,0.65,0
44,17.436076674701948,78.5011523853382,1.0,0
45,17.331878949547562,78.53059486781814,1.27,0
46,17.41097633493745,78.48920408435298,1.41,0
47,17.41622072296985,78.39106185919363,0.73,0
48,17.396241353917915,78.53952872283615,0.72,0
49,17.31656170719624,78.46231219308582,1.43,0
50,17.463289094631268,78.5564388294977,0.97,0
